,questao,enunciado,a,b,c,d,e,correta,explicacao,tema
0,1,Você tem uma rede local que contém vários servidores. Você planeja migrar todos os servidores para o Azure. Você precisa recomendar uma solução para garantir que alguns dos servidores estejam disponíveis se um único datacenter do Azure ficar offline por um período prolongado. O que você deve incluir na recomendação?,tolerância a falhas,elasticidade,escalabilidade,baixa latência,,A,"Tolerância a falhas é a capacidade de um sistema continuar a funcionar no caso de uma falha de alguns de seus componentes. Nesta pergunta, você pode ter servidores que são replicados em data centers. As zonas de disponibilidade expandem o nível de controle que você tem para manter a disponibilidade dos aplicativos e dados em suas VMs. Zonas de disponibilidade são locais físicos únicos dentro de uma região do Azure. Cada zona é composta por um ou mais data centers equipados com energia independente, resfriamento e rede. Para garantir a resiliência, há um mínimo de três zonas separadas em todas as regiões habilitadas. A separação física das Zonas de Disponibilidade dentro de uma região protege aplicativos e dados de falhas no datacenter. Com zonas de disponibilidade, o Azure oferece o melhor SLA de tempo de atividade da VM de 99,99%. Ao arquitetar suas soluções para usar VMs replicados em zonas, você pode proteger seus aplicativos e dados contra a perda de um datacenter. Se uma região estiver comprometida, então aplicativos e dados replicados estarão disponíveis em outra região.",Conceitos em núvem
1,2,"Esta pergunta requer que você avalie o texto sublinhado para determinar se ele está
correto.
Uma organização que hospeda sua infraestrutura em uma nuvem privada pode fechar seu data
center.
Instruções: Reveja o texto sublinhado. Se ele fizer a declaração correta, selecione ""Nenhuma
alteração é necessária"". Se a instrução estiver incorreta, selecione a escolha de resposta que faz
a declaração correta. ",Nenhuma mudança é necessária,em uma nuvem híbrida,na nuvem pública,em um Host Hyper-V,,C,"Uma nuvem privada está hospedada em seu datacenter. Portanto, você não pode fechar seu datacenter se estiver usando uma nuvem privada. Uma nuvem pública é hospedada externamente, por exemplo, no Microsoft Azure. Uma organização que hospeda sua infraestrutura em nuvem pública pode fechar seu datacenter. Nuvem pública é o modelo de implantação mais comum. Neste caso, você não tem hardware local para gerenciar ou manter-se atualizado – tudo é executado no hardware do seu provedor de nuvem. Microsoft Azure é um exemplo de um provedor de nuvem pública. Em uma nuvem privada, você cria um ambiente de nuvem em seu próprio datacenter e fornece acesso de autoatendimento para calcular recursos para usuários em sua organização. Isso oferece uma simulação de uma nuvem pública para seus usuários, mas você permanece completamente responsável pela compra e manutenção dos serviços de hardware e software que você fonecer",Conceitos em núvem
2,3,Quais são as duas características da nuvem pública? Cada resposta correta apresenta uma solução completa. NOTA: Cada seleção correta vale um ponto,hardware dedicado,conexões inseguras,armazenamento limitado,preços medidos,gestão de autoatendimento,DE,"Com a nuvem pública, você recebe preços pay-as-you-go – você paga apenas pelo que você usa, sem custos capex. Com a nuvem pública, você tem gerenciamento de autoatendimento. Você é responsável pela implantação e configuração dos recursos em nuvem, como máquinas virtuais ou sites. O hardware subjacente que hospeda os recursos em nuvem é gerenciado pelo provedor de nuvem.",Conceitos em núvem
3,4,"Nota: Esta pergunta faz parte de uma série de perguntas que apresentam o mesmo cenário. Cada pergunta da série contém uma solução única que pode atingir as metas declaradas. Alguns conjuntos de perguntas podem ter mais de uma solução correta, enquanto outros podem não ter uma solução correta. Depois de responder a uma pergunta nesta seção, você NÃO poderá retornar a ela. Como resultado, essas perguntas não aparecerão na tela de revisão. Sua empresa planeja migrar todos os seus dados e recursos para o Azure. O plano de migração da empresa afirma que apenas as soluções de Plataforma como Serviço (PaaS) devem ser usadas no Azure. Você precisa implantar um ambiente Azure que atenda ao plano de migração da empresa. Solução: Você cria um Azure App Service e bancos de dados Azure SQL. Isso cumpre o objetivo?",Sim,Não,,,,A,"O Azure App Service e os bancos de dados Azure SQL são exemplos de soluções Azure PaaS. Portanto, essa solução cumpre",Conceitos em núvem
4,5,"Nota: Esta pergunta faz parte de uma série de perguntas que apresentam o mesmo cenário. Cada pergunta da série contém uma solução única que pode atingir as metas declaradas. Alguns conjuntos de perguntas podem ter mais de uma solução correta, enquanto outros podem não ter uma solução correta. Depois de responder a uma pergunta nesta seção, você NÃO poderá retornar a ela. Como resultado, essas perguntas não aparecerão na tela de revisão. Sua empresa planeja migrar todos os seus dados e recursos para o Azure. O plano de migração da empresa afirma que apenas as soluções de Plataforma como Serviço (PaaS) devem ser usadas no Azure. Você precisa implantar um ambiente Azure que atenda ao plano de migração da empresa. Solução: Você cria um Azure App Service e máquinas virtuais Azure que têm o Microsoft SQL Server instalado. Isso cumpre o objetivo?",Sim,Não,,,,B,"O Azure App Service é um serviço PaaS (Platform as a Service). No entanto, as máquinas virtuais Azure são um serviço IaaS (Infrastructure as a Service). Portanto, essa solução não atende à meta.",Conceitos em núvem
5,6,"Nota: Esta pergunta faz parte de uma série de perguntas que apresentam o mesmo cenário. Cada pergunta da série contém uma solução única que pode atingir as metas declaradas. Alguns conjuntos de perguntas podem ter mais de uma solução correta, enquanto outros podem não ter uma solução correta. Depois de responder a uma pergunta nesta seção, você NÃO poderá retornar a ela. Como resultado, essas perguntas não aparecerão na tela de revisão. Sua empresa planeja migrar todos os seus dados e recursos para o Azure. O plano de migração da empresa afirma que apenas as soluções de Plataforma como Serviço (PaaS) devem ser usadas no Azure. Você precisa implantar um ambiente Azure que atenda ao plano de migração da empresa. Solução: Você cria um Serviço de Aplicativos Azure e contas de armazenamento Azure. Isso cumpre o objetivo?",Sim,Não,,,,B,"O Azure App Service é um serviço PaaS (Platform as a Service). No entanto, as contas do Azure Storage são um serviço IaaS (Infrastructure as a Service). Portanto, essa solução não atende à meta.",Conceitos em núvem
6,7,Sua empresa hospeda um aplicativo contábil chamado App1 que é usado por todos os clientes da empresa. App1 tem baixo uso durante as três primeiras semanas de cada mês e uso muito alto durante a última semana de cada mês. Qual benefício do Azure Cloud Services suporta o gerenciamento de custos para esse tipo de padrão de uso?,Alta disponibilidade,alta latência,elasticidade,balanceamento de carga,,C,"Elasticidade neste caso é a capacidade de fornecer recursos de computação adicionais quando necessário e reduzir o recurso de computação quando não necessário para reduzir custos. Escalonamento automático é um exemplo de elasticidade. A computação elástica é a capacidade de expandir ou diminuir rapidamente os recursos de processamento, memória e armazenamento de computadores para atender às demandas em constante mudança sem se preocupar com planejamento de capacidade e engenharia para o uso de pico. Normalmente controlado por ferramentas de monitoramento de sistemas, a computação elástica corresponde à quantidade de recursos alocados na quantidade de recursos realmente necessários sem interromper as operações. Com elasticidade na nuvem, uma empresa evita pagar por capacidade não utilizada ou recursos ociosos e não precisa se preocupar em investir na compra ou manutenção de recursos e equipamentos adicionais.",Conceitos em núvem
7,8,Você planeja migrar um aplicativo web para o Azure. O aplicativo web é acessado por usuários externos. Você precisa recomendar uma solução de implantação em nuvem para minimizar a quantidade de esforço administrativo usado para gerenciar o aplicativo web. O que você deve incluir na recomendação?,Software as a Service (SaaS),Platform as a Service (PaaS),Infrastructure as a Service (IaaS),Database as a Service (DaaS),,B,"O Serviço de Aplicativo do Azure é uma oferta de plataforma como serviço (PaaS) que permite criar aplicativos web e móveis para qualquer plataforma ou dispositivo e se conectar aos dados em qualquer lugar, na nuvem ou no local. O Serviço de Aplicativo inclui os recursos da web e móveis que eram fornecidos separadamente como Sites do Azure e Serviços Móveis do Azure",Conceitos em núvem
8,9,Você tem uma rede local que contém 100 servidores. Você precisa recomendar uma solução que forneça recursos adicionais aos seus usuários. A solução deve minimizar os custos de capital e despesas operacionais. O que você deve incluir na recomendação?,uma migração completa para a nuvem pública,um datacenter adicional,uma nuvem privada,uma nuvem híbrida,,D,"Uma nuvem híbrida é uma combinação de uma nuvem privada e uma nuvem pública. A despesa de capital é o gasto de dinheiro adiantado para infraestrutura, como novos servidores. Com uma nuvem híbrida, você pode continuar a usar os servidores locais enquanto adiciona novos servidores na nuvem pública (Azure, por exemplo). A adição de novos servidores no Azure minimiza os custos de gastos de capital, pois você não está pagando por novos servidores como faria se implantasse novos servidores",Conceitos em núvem
9,10,Você planeja migrar vários servidores de uma rede local para o Azure. Qual é a vantagem de usar um serviço de nuvem pública para os servidores em uma rede local?,"A nuvem pública é propriedade do público, NÃO de uma corporação privada",A nuvem pública é uma solução de crowd-sourcing que fornece às corporações a capacidade de aprimorar a nuvem.,Todos os recursos públicos em nuvem podem ser acessados gratuitamente por todos os membros do público.,"A nuvem pública é uma entidade compartilhada por meio da qual várias corporações usam, cada uma, uma parte dos recursos da nuvem.",,D,"A nuvem pública é uma entidade compartilhada pela qual várias corporações usam uma parte dos recursos na nuvem. Os recursos de hardware (servidores, infraestrutura etc.) são gerenciados pelo provedor de nuvem. Várias empresas criam recursos como máquinas virtuais e redes virtuais nos recursos de hardware.",Conceitos em núvem
